,,0
type russe 2023-02-11 19-25-55.482177,82, 1 Merlin-VR
type russe 2023-02-11 19-25-55.482177,83, 1 Lastochka-M
type russe 2023-02-11 19-25-55.482177,84, 1 Project 1164 Slava-class guided missile cruiser 'Moskva'
type russe 2023-02-11 19-25-55.482177,85,5 Project 03160 Raptor-class patrol boat
type russe 2023-02-11 19-25-55.482177,86, 1 Project 02510 BK-16E high-speed assault boat
type russe 2023-02-11 19-25-55.482177,87, 1 Project 775 Ropucha-class landing ship
type russe 2023-02-11 19-25-55.482177,88, 1 Project 11770 Serna-class landing craft
type russe 2023-02-11 19-25-55.482177,89,Project 22870 SB-739 Vasily Bekh rescue tug
type russe 2023-02-11 19-25-55.482177,90, 25 GAZ-66
type russe 2023-02-11 19-25-55.482177,91,4 KrAZ-255B tanker
type russe 2023-02-11 19-25-55.482177,92,24 ZiL-131
type russe 2023-02-11 19-25-55.482177,93, 6 GAZ-3308
type russe 2023-02-11 19-25-55.482177,94, 1 Ural-375D
type russe 2023-02-11 19-25-55.482177,95,592 Ural-4320
type russe 2023-02-11 19-25-55.482177,96,150 Ural-4320 tanker
type russe 2023-02-11 19-25-55.482177,97,116 Ural-43206
type russe 2023-02-11 19-25-55.482177,98, 4 Ural-5323
type russe 2023-02-11 19-25-55.482177,99, 2 Ural-542301 tank transporter
type russe 2023-02-11 19-25-55.482177,100, 1 MAZ TZ-500 tanker
type russe 2023-02-11 19-25-55.482177,101,28 UAZ-469 jeep
type russe 2023-02-11 19-25-55.482177,102,36 UAZ-452 van
type russe 2023-02-11 19-25-55.482177,103, 3 UAZ-23632 pickup truck
type russe 2023-02-11 19-25-55.482177,104, 5 UAZ-23632-148-64 armed pickup truck
