,,Tanks ,Armoured Fighting Vehicles ,Infantry Fighting Vehicles ,Armoured Personnel Carriers ,Mine-Resistant Ambush Protected ,Infantry Mobility Vehicles ,Command Posts And Communications Stations ,Engineering Vehicles And Equipment ,Self-Propelled Anti-Tank Missile Systems ,Artillery Support Vehicles And Equipment ,Towed Artillery ,Self-Propelled Artillery ,Multiple Rocket Launchers ,Anti-Aircraft Guns ,Self-Propelled Anti-Aircraft Guns ,Surface-To-Air Missile Systems ,Radars ,Jammers And Deception Systems ,Aircraft ,Helicopters ,Unmanned Combat Aerial Vehicles ,Unmanned Aerial Vehicles ,Naval Ships ,"Trucks, Vehicles and Jeeps "
% russe 2023-02-11 19-25-55.482177,Pourcentage,"[0.5867287543655413, 0.0459837019790454, 0.04947613504074505, 0.3178114086146682]","[0.6192307692307693, 0.015384615384615385, 0.03461538461538462, 0.33076923076923076]","[0.628348757915246, 0.029225523623964928, 0.05211885046273746, 0.2903068679980516]","[0.6169491525423729, 0.01694915254237288, 0.04067796610169491, 0.3254237288135593]","[0.6590909090909091, 0.09090909090909091, 0.022727272727272728, 0.22727272727272727]","[0.6931818181818182, 0.017045454545454544, 0.005681818181818182, 0.2840909090909091]","[0.6017316017316018, 0.012987012987012988, 0.0, 0.3852813852813853]","[0.44727272727272727, 0.01818181818181818, 0.14181818181818182, 0.3927272727272727]","[0.3333333333333333, 0.1111111111111111, 0.0, 0.5277777777777778]","[0.43956043956043955, 0.02197802197802198, 0.0, 0.5384615384615384]","[0.3712574850299401, 0.041916167664670656, 0.029940119760479042, 0.5568862275449101]","[0.6374269005847953, 0.03508771929824561, 0.02046783625730994, 0.30701754385964913]","[0.6744186046511628, 0.01744186046511628, 0.011627906976744186, 0.29069767441860467]","[0.1875, 0.0, 0.0, 0.8125]","[0.5217391304347826, 0.13043478260869565, 0.0, 0.34782608695652173]","[0.6595744680851063, 0.0425531914893617, 0.05319148936170213, 0.24468085106382978]","[0.5652173913043478, 0.043478260869565216, 0.0, 0.391304347826087]","[0.6086956521739131, 0.08695652173913043, 0.0, 0.30434782608695654]","[0.9154929577464789, 0.0, 0.0, 0.08450704225352113]","[0.8571428571428571, 0.12987012987012986, 0.0, 0.012987012987012988]","[0.8571428571428571, 0.0, 0.0, 0.14285714285714285]","[0.5108695652173914, 0.0, 0.0, 0.4891304347826087]","[0.6666666666666666, 0.0, 0.0, 0.3333333333333333]","[0.721830985915493, 0.015404929577464789, 0.021566901408450703, 0.23987676056338028]"
% ukraine 2023-02-11 19-25-55.482177,Pourcentage,"[0.5929978118161926, 0.05908096280087528, 0.037199124726477024, 0.31072210065645517]","[0.6754716981132075, 0.011320754716981131, 0.018867924528301886, 0.28679245283018867]","[0.7071129707112971, 0.02301255230125523, 0.056485355648535567, 0.21338912133891214]","[0.5374449339207048, 0.048458149779735685, 0.03524229074889868, 0.3788546255506608]","[0.5853658536585366, 0.17073170731707318, 0.12195121951219512, 0.12195121951219512]","[0.5358490566037736, 0.04905660377358491, 0.011320754716981131, 0.44150943396226416]","[0.625, 0.0, 0.0, 0.375]","[0.47619047619047616, 0.0, 0.0, 0.5238095238095238]","[0.38095238095238093, 0.047619047619047616, 0.0, 0.5714285714285714]","[0.45454545454545453, 0.0, 0.0, 0.5454545454545454]","[0.6224489795918368, 0.17346938775510204, 0.030612244897959183, 0.17346938775510204]","[0.6036036036036037, 0.15315315315315314, 0.0, 0.24324324324324326]","[0.6842105263157895, 0.05263157894736842, 0.0, 0.21052631578947367]","[0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.0, 0.6]","[0.875, 0.03409090909090909, 0.011363636363636364, 0.07954545454545454]","[0.6458333333333334, 0.10416666666666667, 0.020833333333333332, 0.22916666666666666]","[0.0, 0.0, 0.0, 1.0]","[0.9824561403508771, 0.0, 0.0, 0.017543859649122806]","[0.8620689655172413, 0.034482758620689655, 0.0, 0.10344827586206896]","[0.0, 0.0, 0.0, 1.0]","[0.5166666666666667, 0.0, 0.0, 0.48333333333333334]","[0.32, 0.04, 0.0, 0.64]","[0.6368932038834951, 0.02912621359223301, 0.007766990291262136, 0.32427184466019415]"
