when,World Bank,IMF,OECD
2018,100,100,100
2019,102.2,102.2,102.2
2020,99.4,99.4,99.4
2021,104.2,104.1,104.1
2022,99.5,100.6,"100.1"
2023,95.9,98.3,"94.5"
